employee_id,age,gender,department_id,job_role_id,education_id,experience_years,monthly_income,salary_hike_percent,work_hours_per_week,overtime,remote_work,business_travel,distance_from_home,job_satisfaction,environment_satisfaction,relationship_satisfaction,work_life_balance,training_hours,projects_last_year,performance_rating,promotion_last_5_years,manager_rating,team_size,company_tenure,stock_option_level,marital_status,dependents,absences_last_year,health_score,stress_level,engagement_score,skill_score,ai_tool_usage,certification_count,job_level,bonus,years_in_current_role,years_with_manager,attrition,age_group,income_band,tenure_group,high_risk_segment
1,41,Male,1,6,1,9,128500,29,62,Yes,Yes,Rarely,6,1,4,4,1,30,2,5,No,1,20,3,1,Single,4,18,65,84,7,29,Low,4,3,27468,4,17,1,40-49,Upper-Mid,0-5 yrs,High Risk
2,28,Male,1,3,3,19,171868,22,34,Yes,Yes,Never,14,2,4,5,4,99,6,4,No,3,11,7,1,Single,0,18,59,88,68,64,Medium,14,3,39908,2,3,1,20-29,High,6-10 yrs,High Risk
3,53,Female,6,3,3,26,68243,2,65,Yes,No,Frequently,45,3,3,5,4,74,13,4,Yes,1,10,15,0,Single,5,22,59,97,83,74,High,14,3,46964,12,11,0,50-60,Low,11-20 yrs,Low Risk
4,22,Female,3,1,2,29,118182,4,45,Yes,No,Frequently,32,5,1,2,4,51,9,3,Yes,4,19,8,3,Married,5,28,64,22,30,20,Low,5,2,15201,7,0,0,20-29,Lower-Mid,6-10 yrs,Low Risk
5,52,Female,4,5,3,11,93877,18,50,Yes,Yes,Never,33,1,5,1,4,115,14,5,No,4,14,12,0,Married,5,12,43,37,25,9,Low,14,2,7204,10,19,0,50-60,Lower-Mid,11-20 yrs,High Risk
6,24,Female,4,3,1,6,25061,27,43,Yes,No,Rarely,41,2,3,3,5,46,8,1,Yes,4,16,15,3,Married,0,4,46,73,96,44,High,8,4,45354,5,16,0,20-29,Low,11-20 yrs,High Risk
7,22,Female,5,3,3,13,163479,27,46,Yes,No,Rarely,23,2,2,5,5,99,9,3,Yes,5,8,25,1,Married,5,25,54,47,26,67,Medium,11,6,1899,0,8,0,20-29,Upper-Mid,21-30 yrs,High Risk
8,51,Female,5,5,2,16,75762,2,44,No,Yes,Rarely,31,5,2,3,2,61,10,5,Yes,4,22,11,0,Single,3,25,85,89,97,26,Medium,5,4,41670,10,2,0,50-60,Lower-Mid,11-20 yrs,Low Risk
9,46,Male,2,3,1,29,130221,18,59,Yes,Yes,Never,39,1,4,3,2,70,9,2,Yes,1,25,20,0,Single,3,27,52,96,28,4,Medium,6,3,32844,7,18,1,40-49,Upper-Mid,11-20 yrs,High Risk
10,41,Female,6,2,3,16,167698,26,63,Yes,No,Never,9,2,5,2,5,65,1,4,Yes,5,2,24,1,Single,1,15,79,54,93,16,High,1,3,44717,16,16,0,40-49,Upper-Mid,21-30 yrs,High Risk
11,56,Male,1,3,1,30,52815,16,58,Yes,Yes,Rarely,29,1,3,5,5,77,9,2,No,4,18,17,3,Single,5,16,96,72,34,72,Low,14,2,27304,3,12,0,50-60,Low,11-20 yrs,High Risk
12,49,Male,2,2,2,20,44017,25,37,No,Yes,Never,42,2,3,2,3,113,3,4,Yes,1,14,28,3,Single,5,26,54,86,21,91,Medium,12,3,27608,6,11,0,40-49,Low,21-30 yrs,Low Risk
13,41,Female,6,2,1,5,214307,12,51,No,No,Never,5,1,1,2,1,10,5,3,Yes,2,10,24,1,Married,5,26,100,47,34,52,Low,15,6,21433,2,8,0,40-49,High,21-30 yrs,Low Risk
14,24,Male,1,3,3,11,136494,27,44,Yes,Yes,Frequently,8,3,4,1,3,70,7,3,Yes,1,18,22,1,Single,1,8,43,10,24,26,Medium,9,5,49774,6,9,0,20-29,Upper-Mid,21-30 yrs,Low Risk
15,49,Male,1,3,1,32,201201,0,62,No,Yes,Never,31,3,2,4,1,84,14,4,No,5,14,16,2,Single,1,10,52,23,91,94,High,4,4,22777,1,4,0,40-49,High,11-20 yrs,Low Risk
16,21,Male,3,3,3,4,188957,26,54,No,No,Never,16,3,3,1,4,23,3,3,No,1,10,11,2,Married,1,1,96,95,40,28,Medium,5,1,21976,12,2,0,20-29,High,11-20 yrs,Low Risk
17,51,Male,3,5,1,17,156796,4,55,Yes,Yes,Frequently,2,2,3,3,2,10,10,5,Yes,5,14,24,2,Married,1,9,86,84,80,83,Low,1,7,46858,16,20,1,50-60,Upper-Mid,21-30 yrs,High Risk
18,48,Male,3,3,1,32,61518,4,70,Yes,No,Rarely,25,5,4,5,1,80,1,5,Yes,4,10,0,3,Single,5,29,72,68,69,12,High,2,6,48286,15,8,0,40-49,Low,0-5 yrs,Low Risk
19,25,Female,6,4,1,16,86547,15,48,Yes,Yes,Never,41,2,2,1,5,18,6,3,No,5,20,4,0,Married,0,15,57,94,87,13,High,6,6,32087,9,16,1,20-29,Lower-Mid,0-5 yrs,High Risk
20,39,Female,3,4,1,29,147132,9,59,Yes,Yes,Never,29,1,3,4,2,117,15,2,Yes,5,4,4,2,Married,1,19,92,60,81,66,Medium,3,6,23932,7,15,0,30-39,Upper-Mid,0-5 yrs,High Risk
21,52,Female,6,5,3,25,31510,4,56,No,No,Frequently,21,1,1,3,1,41,13,3,No,1,8,22,0,Married,2,11,44,21,51,50,High,2,3,28052,8,1,0,50-60,Low,21-30 yrs,Low Risk
22,38,Male,1,4,3,6,38531,10,42,Yes,No,Frequently,2,3,4,5,5,26,12,1,Yes,4,16,19,1,Married,3,1,98,85,71,17,Low,15,4,22522,9,9,0,30-39,Low,11-20 yrs,Low Risk
23,37,Female,4,2,2,16,131485,3,40,No,Yes,Rarely,14,2,5,4,5,28,8,3,No,4,6,17,1,Single,0,5,61,84,72,12,Medium,7,3,16931,18,6,0,30-39,Upper-Mid,11-20 yrs,Low Risk
24,22,Female,1,5,1,26,125358,15,47,Yes,No,Rarely,44,5,5,5,2,11,5,2,No,4,22,14,3,Married,0,4,42,53,55,91,Medium,15,1,4793,12,16,0,20-29,Upper-Mid,11-20 yrs,Low Risk
25,50,Male,4,2,1,28,90133,30,59,Yes,Yes,Never,50,2,1,1,2,29,10,1,No,2,22,8,3,Single,0,2,59,14,68,75,Low,12,3,14652,19,0,0,50-60,Lower-Mid,6-10 yrs,High Risk
26,21,Male,6,6,1,34,104041,17,45,No,Yes,Frequently,46,3,3,1,1,24,8,4,Yes,3,9,21,3,Married,1,15,42,59,90,44,High,13,3,44732,12,6,0,20-29,Lower-Mid,21-30 yrs,Low Risk
27,21,Female,2,5,1,18,218758,7,59,Yes,Yes,Frequently,49,1,3,1,5,63,10,2,Yes,4,15,29,0,Single,3,1,53,65,4,77,Low,13,1,46521,1,5,0,20-29,High,21-30 yrs,High Risk
28,46,Male,1,1,1,28,211655,20,63,Yes,No,Rarely,20,1,4,3,3,56,3,1,Yes,1,10,2,2,Married,0,17,88,41,27,49,Medium,9,7,28340,2,1,0,40-49,High,0-5 yrs,High Risk
29,51,Female,1,2,2,12,122704,0,70,Yes,No,Rarely,41,4,4,1,4,4,8,1,Yes,3,8,23,0,Married,2,8,61,70,79,6,Medium,10,3,19490,0,19,0,50-60,Upper-Mid,21-30 yrs,Low Risk
